tiempo,voltaje
0.000,12.800
2.000,13.000
4.000,13.000
6.000,13.000
8.000,12.800
10.000,12.800
12.000,12.600
14.000,12.600
16.000,12.400
18.000,12.200
20.000,12.800
22.000,13.000
24.000,12.800
26.000,13.000
28.000,12.800
30.000,12.600
32.000,12.400
34.000,12.400
36.000,12.200
38.000,12.000
40.000,12.800
42.000,13.000
44.000,13.000
46.000,13.000
48.000,13.000
50.000,12.800
52.000,12.200
54.000,12.400
56.000,12.400
58.000,12.200
60.000,12.400
62.000,13.000
64.000,13.000
66.000,12.800
68.000,12.800
70.000,12.800
72.000,12.600
74.000,12.400
76.000,12.400
78.000,11.800
80.000,12.600
82.000,13.000
84.000,13.000
86.000,12.800
88.000,12.800
90.000,12.800
92.000,12.600
94.000,12.400
96.000,12.400
98.000,12.200
100.000,12.600
102.000,13.000
104.000,13.000
106.000,12.800
108.000,12.800
110.000,12.600
112.000,12.400
114.000,12.400
116.000,12.200
118.000,12.400
120.000,12.600
122.000,13.200
124.000,13.000
126.000,13.000
128.000,13.000
130.000,12.600
132.000,12.600
134.000,12.200
136.000,12.400
138.000,12.200
140.000,12.600
142.000,13.000
144.000,12.800
146.000,12.800
148.000,13.000
150.000,12.600
152.000,12.600
154.000,12.400
156.000,12.600
158.000,12.200
160.000,12.400
162.000,12.800
164.000,13.000
166.000,12.800
168.000,12.800
170.000,12.800
172.000,12.600
174.000,12.400
176.000,12.200
178.000,12.000
180.000,12.600
182.000,13.200
184.000,13.000
186.000,12.800
188.000,12.600
190.000,12.800
192.000,12.400
194.000,12.400
196.000,12.200
198.000,12.000
