tiempo,voltaje
0.000,0.000
1.000,0.200
2.000,0.000
3.000,0.000
4.000,0.200
5.000,-0.200
6.000,0.000
7.000,0.000
8.000,0.200
9.000,0.000
10.000,0.000
11.000,3.400
12.000,8.200
13.000,12.800
14.000,14.600
15.000,15.600
16.000,15.200
17.000,13.000
18.000,10.200
19.000,5.000
20.000,0.000
21.000,0.000
22.000,0.000
23.000,-0.200
24.000,-0.200
25.000,0.000
26.000,0.000
27.000,0.000
28.000,0.000
29.000,0.000
30.000,0.000
31.000,3.600
32.000,8.200
33.000,13.000
34.000,14.600
35.000,15.600
36.000,15.200
37.000,13.400
38.000,10.000
39.000,5.000
40.000,0.000
41.000,0.000
42.000,0.200
43.000,-0.200
44.000,0.000
45.000,-0.200
46.000,-0.200
47.000,-0.200
48.000,0.200
49.000,-0.200
50.000,0.200
51.000,3.600
52.000,8.400
53.000,12.800
54.000,14.800
55.000,15.800
56.000,15.000
57.000,13.400
58.000,10.200
59.000,5.200
60.000,0.200
61.000,0.000
62.000,0.000
63.000,0.000
64.000,0.000
65.000,0.200
66.000,0.000
67.000,-0.200
68.000,0.000
69.000,0.200
70.000,0.000
71.000,3.600
72.000,8.200
73.000,12.400
74.000,14.800
75.000,15.600
76.000,15.000
77.000,13.400
78.000,10.200
79.000,5.000
80.000,0.400
81.000,0.000
82.000,0.000
83.000,-0.200
84.000,-0.200
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.200
89.000,0.000
90.000,0.000
91.000,3.800
92.000,8.400
93.000,12.800
94.000,14.800
95.000,15.400
96.000,15.000
97.000,13.200
98.000,10.000
99.000,5.000
