tiempo,voltaje
0.000,14.200
0.500,14.000
1.000,13.400
1.500,12.800
2.000,12.800
2.500,12.600
3.000,12.200
3.500,12.000
4.000,11.400
4.500,11.200
5.000,10.800
5.500,10.600
6.000,10.800
6.500,11.600
7.000,12.200
7.500,13.000
8.000,14.000
8.500,14.600
9.000,14.800
9.500,14.800
10.000,14.400
10.500,14.000
11.000,13.400
11.500,13.200
12.000,12.800
12.500,12.600
13.000,12.200
13.500,11.800
14.000,12.000
14.500,11.400
15.000,11.000
15.500,10.600
16.000,10.600
16.500,11.200
17.000,12.000
17.500,13.000
18.000,13.600
18.500,14.000
19.000,14.800
19.500,14.600
20.000,14.400
20.500,13.600
21.000,13.400
21.500,13.200
22.000,12.800
22.500,12.400
23.000,12.400
23.500,11.800
24.000,11.400
24.500,11.200
25.000,10.800
25.500,10.600
26.000,10.600
26.500,11.200
27.000,12.400
27.500,13.200
28.000,14.000
28.500,14.400
29.000,14.800
29.500,14.600
30.000,14.400
30.500,14.200
31.000,13.600
31.500,13.000
32.000,13.000
32.500,12.600
33.000,12.200
33.500,12.000
34.000,11.600
34.500,11.200
35.000,11.000
35.500,10.400
36.000,10.800
36.500,11.200
37.000,12.200
37.500,13.000
38.000,13.800
38.500,14.400
39.000,14.800
39.500,14.600
40.000,14.400
40.500,14.000
41.000,13.600
41.500,13.200
42.000,13.000
42.500,12.600
43.000,12.200
43.500,11.800
44.000,11.400
44.500,11.000
45.000,10.800
45.500,10.600
46.000,10.400
46.500,11.200
47.000,12.200
47.500,13.200
48.000,14.000
48.500,14.200
49.000,15.000
49.500,14.800
